category,rel_month,factor
A,1,0.028667100526802918
A,2,0.018148420102637935
A,3,0.08516830161044293
A,4,0.06319562833753303
A,5,0.07694470814013808
A,6,0.10077772853879
A,7,0.0944819251196683
A,8,0.07843151907949149
A,9,0.051696400113560144
A,10,0.07971078251516375
A,11,0.09086392955423812
A,12,0.10082026050206172
A,13,0.024915086033578473
A,14,0.055472337486124706
A,15,0.04763254144077715
A,16,0.0030733308989913904
B,1,0.016829073046100013
B,2,0.0
B,3,0.05688205604005382
B,4,0.027679492260989026
B,5,0.0
B,6,0.08056630127288747
B,7,0.02225724610474907
B,8,0.08190099843721432
B,9,0.11628083310533026
B,10,0.0720401961669904
B,11,0.09383152378889652
B,12,0.09568366982360477
B,13,0.10366047751483858
B,14,0.09344616478410278
B,15,0.0637192110556229
B,16,0.0752227565986202
C,1,0.0625
C,2,0.0625
C,3,0.0625
C,4,0.0625
C,5,0.0625
C,6,0.0625
C,7,0.0625
C,8,0.0625
C,9,0.0625
C,10,0.0625
C,11,0.0625
C,12,0.0625
C,13,0.0625
C,14,0.0625
C,15,0.0625
C,16,0.0625
D,1,0.03575097796767779
D,2,0.050197863435056014
D,3,0.062872703315154
D,4,0.07398271332815828
D,5,0.08345635771994339
D,6,0.10949230325769259
D,7,0.10087500843018683
D,8,0.07638632935577327
D,9,0.09606940871234461
D,10,0.08339713796706338
D,11,0.06749870866438168
D,12,0.046630247557902044
D,13,0.034019110039345164
D,14,0.02561565552969645
D,15,0.030121832323699155
D,16,0.023633642395925483
F,1,0.03254086420916224
F,2,0.037949637515315125
F,3,0.09034417628430433
F,4,0.0
F,5,0.06765399290145606
F,6,0.05134961923250513
F,7,0.0
F,8,0.04728531031625498
F,9,0.0784423946690384
F,10,0.0
F,11,0.02090673254932399
F,12,0.03342127272889223
F,13,0.08975279535946344
F,14,0.12704679431462262
F,15,0.16738306244624868
F,16,0.15592334747341277
