curve_name,rel_month,factor
64BC,1,0.050195
64BC,2,0.053265
64BC,3,0.044327
64BC,4,0.017962
64BC,5,0.051650
64BC,6,0.197772
64BC,7,0.141450
64BC,8,0.087928
64BC,9,0.011307
64BC,10,0.066522
64BC,11,0.145010
64BC,12,0.112227
64BC,13,0.017441
64BC,14,0.002943
26CT,1,0.062372
26CT,2,0.068039
26CT,3,0.030788
26CT,4,0.006510
26CT,5,0.142990
26CT,6,0.251677
26CT,7,0.136017
26CT,8,0.010594
26CT,9,0.022406
26CT,10,0.108797
26CT,11,0.084880
26CT,12,0.063490
26CT,13,0.011441
35T_18TK,1,0.056563
35T_18TK,2,0.050600
35T_18TK,3,0.046773
35T_18TK,4,0.031192
35T_18TK,5,0.004481
35T_18TK,6,0.098025
35T_18TK,7,0.171195
35T_18TK,8,0.110470
35T_18TK,9,0.082418
35T_18TK,10,0.028964
35T_18TK,11,0.031927
35T_18TK,12,0.086540
35T_18TK,13,0.094303
35T_18TK,14,0.080274
35T_18TK,15,0.024240
35T_18TK,16,0.002034
35T_28TK,1,0.056485
35T_28TK,2,0.050531
35T_28TK,3,0.046709
35T_28TK,4,0.031149
35T_28TK,5,0.004470
35T_28TK,6,0.097479
35T_28TK,7,0.170242
35T_28TK,8,0.109855
35T_28TK,9,0.081959
35T_28TK,10,0.028898
35T_28TK,11,0.032218
35T_28TK,12,0.087327
35T_28TK,13,0.095160
35T_28TK,14,0.081004
35T_28TK,15,0.024460
35T_28TK,16,0.002053
average,1,0.041529
average,2,0.040474
average,3,0.039616
average,4,0.030365
average,5,0.020415
average,6,0.007676
average,7,0.058636
average,8,0.113321
average,9,0.133515
average,10,0.095259
average,11,0.065662
average,12,0.026345
average,13,0.018610
average,14,0.035757
average,15,0.073905
average,16,0.076918
average,17,0.066830
average,18,0.036737
average,19,0.015237
average,20,0.003192
